FM Run,Mag,Issue,Strip/EOM/Mo,Master Gen
4-Aug-18,PE,2760-1,ST,
4-Aug-18,TD,2787-1,ST,
5-Aug-18,FO,1298-4,ST_E_AUG,
6-Aug-18,IN,0414-5,ST_E_SEP,
10-Aug-18,SI,2827-2,ST,
11-Aug-18,PE,2761-1,ST,
11-Aug-18,TD,2788-1,ST,
12-Aug-18,EW,1626-1,ST_E_AUG,
14-Aug-18,SL,0627-4,ST_E_SEP,
16-Aug-18,SG,0886-4,ST_E_SEP,
17-Aug-18,SI,2828-1,_E_AUG,
18-Aug-18,PE,2762-1,ST_E_AUG,
18-Aug-18,TD,2789-1,_E_AUG,
20-Aug-18,LE,0886-4,ST_E_SEP,
22-Aug-18,MO,0794-5,ST_E_SEP,
22-Aug-18,SK,0371-4,ST_E_SEP,
22-Aug-18,TD,2790-1,ST,
23-Aug-18,CC,0884-5,ST_E_AUG,
23-Aug-18,CF,0884-5,ST_E_AUG,
23-Aug-18,CH,0884-5,ST_E_AUG,
23-Aug-18,CY,0266-5,ST_E_AUG,
23-Aug-18,EG,0685-9,ST_E_AUG,
23-Aug-18,TK,0683-9,ST_E_AUG,
24-Aug-18,SI,2829-1,ST,
25-Aug-18,PE,2763-1,ST,
26-Aug-18,EW,1627-2,ST,
30-Aug-18,EG,0686-1,ST,
30-Aug-18,TK,0684-1,ST,
